ID,日期,事件,說明,參與人數
1,2021-11-28,NEMESIS 正式公開,經過一個月時間的計劃及執行，NEMESIS 終於開放 DC 讓各位玩家加入！,10
2,2025-02-05,UHC 第一回,NEMESIS 公會第一回 UHC,12
3,2025-04-08,無盡地城,NEMESIS 使用由天豹星雲製造的 PVE 地圖 -- 無盡地城；和玩家一起享受 PVE 的樂趣,13
4,2025-04-09,聯動！Chill Play 伺服器,NEMESIS 和 ChillPlay 共同管理生存伺服器,30
5,2025-04-12,UHC 第二回,NEMESIS 公會第二回 UHC,10
6,2025-06-15,UHC 第三回,UHC 第三回,12
7,2025-06-15,200 人感謝祭,NEMESIS 200 人感謝祭；NEMESIS 宣佈對未來的計劃及視野,200
8,2025-06-27,歌唱大賽,在 Discord 頻道內分享大家喜歡的音樂,21
9,2025-07-03,「初見團」！VTuber 招募,招募香港 VTuber 做進行長期生存系列,15
10,2025-07-08,UHC 第四回,UHC 第四回,6
11,2025-07-10,UHC 第五回,UHC 第五回,8
12,2025-07-10,UHC 第六回,UHC 第六回,8
13,2025-07-19,UHC 第七回,UHC 第七回,11
14,2025-07-20,UHC 第八回,UHC 第八回,13
15,2025-07-21,UHC 第九回,UHC 第九回,19
16,2025-07-27,UHC 第十回,UHC 第十回,7
17,2025-08-05,UHC 第十一回,UHC 第十一回,9
18,2025-09-01,UHC 第十二回,UHC 第十二回,7
19,2025-09-17,「初見團」建立！,NEMESIS 聚集了一共 13 位初見的 VTuber 為大家獻上「初見！異域旅行團」系列！系列由 SharkyLab 贊助,14
20,2025-09-24,UHC 第十三回,UHC 第十三回,6
21,2025-09-25,動畫觀賞大會,Nemesis 與成員一起觀賞 Minecraft 人氣動畫！,18
22,2025-10-01,UHC 第十四回,UHC 第十四回,7
23,2025-10-22,「2-Minute 恐怖短片挑戰」開鏡！,恐怖短片創作活動,5
24,2025-11-07,UHC 第十五回,UHC 第十五回,6
25,2025-11-07,「15-Minute 聖誕影片挑戰」,NEMESIS 聖誕影片活動,6
26,2025-11-23,UHC 第十六回,UHC 第十六回,12
27,2025-12-11,生存班招募,為了管理生存伺服器，NEMESIS 招募生存班,1
28,2026-01-07,生存伺服器開啓,NEMESIS 官方生存伺服器開啓,30
29,2026-01-31,Donation 開啓,NEMESIS 開放捐款渠道,30
30,2026-02-17,新春開年套裝,NEMESIS 向團員派紅包,-
31,2026-02-17,UHC 第十七回（新春開年篇）,第十六回 UHC（新春開年篇）,-
32,2026-03-05,捐贈感謝,感謝各位支持 NEMESIS！,-
33,2026-03-18,NEMESIS 占卜系統 Beta 1.0,使用 Minecraft 生物加礦物作占卜,-
